"X_STATE","IMONTH","mean_mental","State"
54,"09",5.59580838323353,"West Virginia"
54,"10",4.50773195876289,"West Virginia"
54,"11",4.69318181818182,"West Virginia"
54,"12",5.00558659217877,"West Virginia"
55,"01",2.86688851913478,"Wisconsin"
55,"02",3.31805157593123,"Wisconsin"
55,"03",3.64888888888889,"Wisconsin"
55,"04",2.7734375,"Wisconsin"
55,"05",3.44152046783626,"Wisconsin"
55,"06",3.29375,"Wisconsin"
55,"07",3.27494908350306,"Wisconsin"
55,"08",3.77397260273973,"Wisconsin"
55,"09",4.05089820359281,"Wisconsin"
55,"10",3.22117202268431,"Wisconsin"
55,"11",3.32059800664452,"Wisconsin"
55,"12",4.04724409448819,"Wisconsin"
56,"01",2.16120218579235,"Wyoming"
56,"02",2.41428571428571,"Wyoming"
56,"03",3.62162162162162,"Wyoming"
56,"04",3.15730337078652,"Wyoming"
56,"05",3.37786259541985,"Wyoming"
56,"06",3.4248496993988,"Wyoming"
56,"07",2.61813186813187,"Wyoming"
56,"08",3.17994100294985,"Wyoming"
56,"09",3.22740524781341,"Wyoming"
56,"10",3.31764705882353,"Wyoming"
56,"11",3.48548812664908,"Wyoming"
56,"12",3.00888888888889,"Wyoming"
66,"01",2.7037037037037,"Guam"
66,"02",5.02857142857143,"Guam"
66,"03",4.33333333333333,"Guam"
66,"04",3.99310344827586,"Guam"
66,"05",3.56521739130435,"Guam"
66,"06",3.70535714285714,"Guam"
66,"07",0,"Guam"
66,"08",5.08490566037736,"Guam"
66,"09",3.18238993710692,"Guam"
66,"10",2.55045871559633,"Guam"
66,"11",3.40372670807453,"Guam"
66,"12",3.28125,"Guam"
72,"01",6.16115702479339,"Puerto Rico"
72,"02",3.25159914712154,"Puerto Rico"
72,"03",3.98166431593794,"Puerto Rico"
72,"04",2.95652173913043,"Puerto Rico"
72,"05",3.90078328981723,"Puerto Rico"
72,"06",4.14882506527415,"Puerto Rico"
72,"07",3.61674008810573,"Puerto Rico"
72,"08",4.68580060422961,"Puerto Rico"
72,"09",3.14285714285714,"Puerto Rico"
72,"11",6.88888888888889,"Puerto Rico"
72,"12",7.01766784452297,"Puerto Rico"
